AKUDA N035.58.00.001 W008.56.60.000 ; - AKUDA
AMSEL N035.58.00.001 W007.53.00.002 ; - AMSEL
BAROK N035.58.00.001 W010.01.23.999 ; - BAROK
EVURA N038.39.54.000 W007.55.07.000 ; - EVURA
GAIOS N038.16.32.002 W008.32.35.002 ; - GAIOS
LATRU N037.00.00.000 W010.00.00.000 ; - LATRU
MENDE N036.37.34.000 W010.00.00.000 ; - MENDE
MINTA N037.07.44.000 W007.22.59.999 ; - MINTA
ORTOP N036.01.35.962 W007.22.59.999 ; - ORTOP
OSLAD N035.58.00.001 W008.18.51.001 ; - OSLAD
PIREN N036.50.00.002 W007.22.59.999 ; - PIREN
ROSAL N038.01.17.422 W007.06.04.540 ; - ROSAL
TROIA N038.04.23.999 W008.52.45.001 ; - TROIA
